food_id,category,sub_category,food_name,calories_per_100g,common_unit,edible_rate,remark,protein_per_100g,carb_per_100g,fat_per_100g
99,蔬菜水果类,熟制蔬菜,泡发黑木耳（煮）,27,1份（100g）≈ 27 kcal,1.0,泡发后煮熟,0,0,0
100,蔬菜水果类,熟制蔬菜,清煮海带,12,1份（100g）≈ 12 kcal,1.0,清水煮,0,0,0
101,蔬菜水果类,熟制蔬菜,清蒸秋葵,25,1份（100g）≈ 25 kcal,1.0,无油清蒸,0,0,0
102,蔬菜水果类,熟制蔬菜,清蒸芦笋,22,1份（100g）≈ 22 kcal,1.0,无油清蒸,0,0,0
103,蔬菜水果类,熟制蔬菜,清煮羽衣甘蓝,32,1份（100g）≈ 32 kcal,1.0,清水焯烫,0,0,0
104,蔬菜水果类,熟制蔬菜,清煮豆芽,18,1份（100g）≈ 18 kcal,1.0,绿豆芽,0,0,0
105,蔬菜水果类,熟制蔬菜,清煮四季豆,28,1份（100g）≈ 28 kcal,1.0,清水煮熟,0,0,0
106,蔬菜水果类,熟制蔬菜,清煮毛豆,123,1份（100g）≈ 123 kcal,1.0,带壳毛豆可食部,0,0,0
107,蔬菜水果类,腌渍蔬菜,东北酸菜,22,1份（100g）≈ 22 kcal,1.0,发酵酸菜,0,0,0
108,蔬菜水果类,腌渍蔬菜,韩式泡菜,35,1份（100g）≈ 35 kcal,1.0,辣白菜,0,0,0
109,蔬菜水果类,腌渍蔬菜,榨菜,28,1袋（50g）≈ 14 kcal,1.0,腌制榨菜,0,0,0
110,蔬菜水果类,腌渍蔬菜,萝卜干,70,1份（50g）≈ 35 kcal,1.0,风干萝卜干,0,0,0
111,蔬菜水果类,腌渍蔬菜,梅干菜（泡发）,80,1份（100g）≈ 80 kcal,1.0,泡发后,0,0,0
112,蔬菜水果类,腌渍蔬菜,橄榄菜,200,1勺（20g）≈ 40 kcal,1.0,含油腌制,0,0,0
113,蔬菜水果类,腌渍蔬菜,糖醋蒜,135,1头（50g）≈ 68 kcal,1.0,糖蒜,0,0,0
114,蔬菜水果类,鲜果类,苹果,52,1个中等（200g）≈ 104 kcal,0.85,带核，生食即食,0,0,0
115,蔬菜水果类,鲜果类,梨,44,1个中等（200g）≈ 88 kcal,0.82,带核，生食即食,0,0,0
116,蔬菜水果类,鲜果类,桃子,42,1个（150g）≈ 63 kcal,0.88,带核，生食即食,0,0,0
117,蔬菜水果类,鲜果类,李子,38,1个（50g）≈ 19 kcal,0.9,带核，生食即食,0,0,0
118,蔬菜水果类,鲜果类,樱桃,46,10颗（50g）≈ 23 kcal,0.85,带核，生食即食,0,0,0
119,蔬菜水果类,鲜果类,草莓,30,1盒（200g）≈ 60 kcal,1.0,生食即食,0,0,0
120,蔬菜水果类,鲜果类,蓝莓,57,1盒（100g）≈ 57 kcal,1.0,生食即食,0,0,0
121,蔬菜水果类,鲜果类,猕猴桃,56,1个（100g）≈ 56 kcal,0.8,带皮，生食即食,0,0,0
122,蔬菜水果类,鲜果类,橙子,47,1个（150g）≈ 70 kcal,0.75,带皮，生食即食,0,0,0
123,蔬菜水果类,鲜果类,橘子,43,1个（100g）≈ 43 kcal,0.78,带皮，生食即食,0,0,0
124,蔬菜水果类,鲜果类,柚子,38,1瓣（100g）≈ 38 kcal,0.6,带皮，生食即食,0,0,0
125,蔬菜水果类,鲜果类,香蕉,91,1根（120g）≈ 109 kcal,0.7,带皮，生食即食,0,0,0
126,蔬菜水果类,鲜果类,芒果,32,1个（200g）≈ 64 kcal,0.6,带核，生食即食,0,0,0
127,蔬菜水果类,鲜果类,菠萝/凤梨,41,1块（200g）≈ 82 kcal,0.65,带皮，生食即食,0,0,0
128,蔬菜水果类,鲜果类,荔枝,70,10颗（100g）≈ 70 kcal,0.78,带核，生食即食,0,0,0
129,蔬菜水果类,鲜果类,龙眼,71,10颗（100g）≈ 71 kcal,0.75,带核，生食即食,0,0,0
130,蔬菜水果类,鲜果类,火龙果,51,半个（200g）≈ 102 kcal,0.78,带皮，生食即食,0,0,0
131,蔬菜水果类,鲜果类,西瓜,25,1块（200g）≈ 50 kcal,0.55,带皮，生食即食,0,0,0
132,蔬菜水果类,鲜果类,哈密瓜,34,1块（200g）≈ 68 kcal,0.7,带皮，生食即食,0,0,0
133,蔬菜水果类,鲜果类,牛油果,160,半个（100g）≈ 160 kcal,0.7,带核皮，生食即食,0,0,0
134,蔬菜水果类,鲜果类,榴莲,147,1瓣（100g）≈ 147 kcal,0.4,带壳，生食即食,0,0,0
135,蔬菜水果类,鲜果类,椰子肉,241,1个（200g）≈ 482 kcal,0.3,带壳，生食即食,0,0,0
136,蔬菜水果类,鲜果类,山竹,69,1个（50g）≈ 35 kcal,0.4,带壳，生食即食,0,0,0
137,蔬菜水果类,鲜果类,百香果,97,1个（50g）≈ 49 kcal,0.5,带皮，生食即食,0,0,0
138,蔬菜水果类,鲜果类,葡萄,44,1串（200g）≈ 88 kcal,0.85,带皮，生食即食,0,0,0
139,蔬菜水果类,鲜果类,山楂,95,10颗（100g）≈ 95 kcal,0.8,带核，生食即食,0,0,0
140,蔬菜水果类,鲜果类,车厘子,46,10颗（50g）≈ 23 kcal,0.85,带核，生食即食,0,0,0
141,蔬菜水果类,鲜果类,西柚,33,半个（200g）≈ 66 kcal,0.7,带皮，生食即食,0,0,0
142,蔬菜水果类,鲜果类,番石榴/芭乐,41,1个（150g）≈ 62 kcal,0.8,带皮，生食即食,0,0,0
143,蔬菜水果类,鲜果类,杨桃,29,1个（100g）≈ 29 kcal,0.9,生食即食,0,0,0
144,蔬菜水果类,鲜果类,莲雾,34,1个（100g）≈ 34 kcal,0.9,生食即食,0,0,0
145,蔬菜水果类,鲜果类,释迦果,94,1个（200g）≈ 188 kcal,0.65,带皮，生食即食,0,0,0
146,蔬菜水果类,鲜果类,菠萝蜜,103,1瓣（50g）≈ 52 kcal,0.4,带核，生食即食,0,0,0
147,蔬菜水果类,干果果脯类,干红枣,264,10颗（50g）≈ 132 kcal,0.9,即食,0,0,0
148,蔬菜水果类,干果果脯类,葡萄干,299,1把（30g）≈ 90 kcal,1.0,即食,0,0,0
149,蔬菜水果类,干果果脯类,桂圆干,277,10颗（30g）≈ 83 kcal,0.8,带壳，即食,0,0,0
150,蔬菜水果类,干果果脯类,芒果干,320,1袋（50g）≈ 160 kcal,1.0,即食,0,0,0
151,蔬菜水果类,干果果脯类,蔓越莓干,315,1勺（20g）≈ 63 kcal,1.0,即食,0,0,0
152,蔬菜水果类,干果果脯类,杏干,330,10片（30g）≈ 99 kcal,1.0,即食,0,0,0
153,蔬菜水果类,干果果脯类,柿饼,250,1个（50g）≈ 125 kcal,1.0,即食,0,0,0
154,蔬菜水果类,干果果脯类,话梅,168,10颗（30g）≈ 50 kcal,1.0,即食,0,0,0
155,蔬菜水果类,干果果脯类,山楂片,360,1袋（50g）≈ 180 kcal,1.0,即食,0,0,0
156,蔬菜水果类,干果果脯类,果丹皮,321,1卷（30g）≈ 96 kcal,1.0,即食,0,0,0
157,豆类坚果类,熟制豆类,煮黄豆,140,1碗（100g）≈ 140 kcal,1.0,清水煮熟,0,0,0
158,豆类坚果类,熟制豆类,煮黑豆,150,1碗（100g）≈ 150 kcal,1.0,清水煮熟,0,0,0
159,豆类坚果类,熟制豆类,煮红豆,126,1碗（100g）≈ 126 kcal,1.0,清水煮熟,0,0,0
160,豆类坚果类,熟制豆类,煮绿豆,116,1碗（100g）≈ 116 kcal,1.0,清水煮熟,0,0,0
161,豆类坚果类,熟制豆类,煮鹰嘴豆,164,1碗（100g）≈ 164 kcal,1.0,清水煮熟,0,0,0
162,豆类坚果类,熟制豆类,煮芸豆,125,1碗（100g）≈ 125 kcal,1.0,清水煮熟,0,0,0
163,豆类坚果类,熟制豆类,煮豌豆,105,1碗（100g）≈ 105 kcal,1.0,清水煮熟,0,0,0
164,豆类坚果类,熟制豆类,煮蚕豆,104,1碗（100g）≈ 104 kcal,1.0,清水煮熟,0,0,0
165,豆类坚果类,豆制品,北豆腐,98,1块（100g）≈ 98 kcal,1.0,即食/可烹饪,0,0,0
166,豆类坚果类,豆制品,嫩豆腐/南豆腐,57,1盒（300g）≈ 171 kcal,1.0,即食/可烹饪,0,0,0
167,豆类坚果类,豆制品,内酯豆腐,49,1盒（300g）≈ 147 kcal,1.0,即食,0,0,0
168,豆类坚果类,豆制品,豆腐脑,15,1碗（300g）≈ 45 kcal,1.0,无糖无卤,0,0,0
169,豆类坚果类,豆制品,无糖豆浆,35,1杯（300ml）≈ 105 kcal,1.0,即饮,0,0,0
170,豆类坚果类,豆制品,纳豆,200,1盒（50g）≈ 100 kcal,1.0,即食,0,0,0
171,豆类坚果类,豆制品,豆腐皮/千张,262,1张（50g）≈ 131 kcal,1.0,熟制可即食,0,0,0
172,豆类坚果类,豆制品,泡发煮腐竹,102,1根（50g）≈ 51 kcal,1.0,泡发煮熟后,0,0,0
173,豆类坚果类,豆制品,白豆干,140,1块（50g）≈ 70 kcal,1.0,即食,0,0,0
174,豆类坚果类,豆制品,卤香干,185,1块（50g）≈ 93 kcal,1.0,卤制即食,0,0,0
175,豆类坚果类,豆制品,素鸡,192,1块（100g）≈ 192 kcal,1.0,即食,0,0,0
176,豆类坚果类,豆制品,油豆腐,245,10个（50g）≈ 123 kcal,1.0,油炸豆制品,0,0,0
177,豆类坚果类,豆制品,红腐乳,133,1块（10g）≈ 13 kcal,1.0,腐乳,0,0,0
178,豆类坚果类,豆制品,鸡蛋干,158,1袋（100g）≈ 158 kcal,1.0,即食,0,0,0
179,豆类坚果类,豆制品,烤麸,155,1块（50g）≈ 78 kcal,1.0,面筋制品,0,0,0
180,豆类坚果类,豆制品,手撕素肉,200,1袋（50g）≈ 100 kcal,1.0,大豆蛋白制品,0,0,0
181,豆类坚果类,坚果籽类,核桃（干）,646,1颗（5g）≈ 32 kcal,0.43,带壳，熟制即食,0,0,0
182,豆类坚果类,坚果籽类,巴旦木/杏仁,579,10颗（15g）≈ 87 kcal,0.7,带壳，熟制即食,0,0,0
183,豆类坚果类,坚果籽类,腰果,552,10颗（15g）≈ 83 kcal,1.0,熟制即食,0,0,0
184,豆类坚果类,坚果籽类,开心果,568,10颗（10g）≈ 57 kcal,0.45,带壳，熟制即食,0,0,0
185,豆类坚果类,坚果籽类,夏威夷果,718,1颗（5g）≈ 36 kcal,0.4,带壳，熟制即食,0,0,0
186,豆类坚果类,坚果籽类,碧根果,691,1颗（5g）≈ 35 kcal,0.4,带壳，熟制即食,0,0,0
187,豆类坚果类,坚果籽类,松子,644,10颗（5g）≈ 32 kcal,0.3,带壳，熟制即食,0,0,0
188,豆类坚果类,坚果籽类,榛子,617,10颗（10g）≈ 62 kcal,0.5,带壳，熟制即食,0,0,0
189,豆类坚果类,坚果籽类,熟板栗,212,10颗（100g）≈ 212 kcal,0.8,带壳，熟制即食,0,0,0
190,豆类坚果类,坚果籽类,炒花生,585,1把（20g）≈ 117 kcal,0.7,带壳，熟制即食,0,0,0
191,豆类坚果类,坚果籽类,葵花籽仁,606,1把（20g）≈ 121 kcal,1.0,熟制即食,0,0,0
192,豆类坚果类,坚果籽类,南瓜子仁,574,1把（20g）≈ 115 kcal,1.0,熟制即食,0,0,0
193,豆类坚果类,坚果籽类,白芝麻,531,1勺（10g）≈ 53 kcal,1.0,熟制即食,0,0,0
194,豆类坚果类,坚果籽类,黑芝麻,559,1勺（10g）≈ 56 kcal,1.0,熟制即食,0,0,0
195,豆类坚果类,坚果籽类,奇亚籽,490,1勺（10g）≈ 49 kcal,1.0,即食,0,0,0
196,豆类坚果类,坚果籽类,亚麻籽,534,1勺（10g）≈ 53 kcal,1.0,即食,0,0,0
197,豆类坚果类,坚果加工品,纯花生酱,594,1勺（20g）≈ 119 kcal,1.0,无添加糖,0,0,0
198,豆类坚果类,坚果加工品,纯芝麻酱,600,1勺（20g）≈ 120 kcal,1.0,纯芝麻,0,0,0
199,豆类坚果类,坚果加工品,琥珀核桃,600,1袋（50g）≈ 300 kcal,1.0,裹糖油炸,0,0,0
200,豆类坚果类,坚果加工品,蜂蜜黄油杏仁,615,1袋（30g）≈ 185 kcal,1.0,调味坚果,0,0,0
201,豆类坚果类,坚果加工品,鱼皮花生,500,1袋（50g）≈ 250 kcal,1.0,裹衣花生,0,0,0
202,豆类坚果类,坚果加工品,怪味胡豆,425,1袋（50g）≈ 213 kcal,1.0,调味蚕豆,0,0,0
203,豆类坚果类,坚果加工品,焦糖瓜子,610,1袋（100g）≈ 610 kcal,0.3,带壳，调味,0,0,0
204,肉蛋奶类,熟制畜禽肉,水煮鸡胸肉,140,1块（100g）≈ 140 kcal,1.0,清水无油煮,0,0,0
205,肉蛋奶类,熟制畜禽肉,水煮去皮鸡腿肉,160,1个（100g）≈ 160 kcal,1.0,清水无油煮,0,0,0
206,肉蛋奶类,熟制畜禽肉,水煮瘦猪肉,189,1块（100g）≈ 189 kcal,1.0,清水无油煮,0,0,0
207,肉蛋奶类,熟制畜禽肉,水煮瘦牛肉,150,1块（100g）≈ 150 kcal,1.0,清水无油煮,0,0,0
208,肉蛋奶类,熟制畜禽肉,水煮瘦羊肉,160,1块（100g）≈ 160 kcal,1.0,清水无油煮,0,0,0
209,肉蛋奶类,熟制畜禽肉,酱牛肉,246,1片（50g）≈ 123 kcal,1.0,卤制即食,0,0,0
210,肉蛋奶类,熟制畜禽肉,卤鸭腿,260,1个（150g）≈ 390 kcal,0.7,带骨，卤制,0,0,0
211,肉蛋奶类,熟制畜禽肉,烧鸡,190,1/4只（200g）≈ 380 kcal,0.6,带骨，熏烤,0,0,0
212,肉蛋奶类,熟制畜禽肉,盐水鸭,210,1/4只（200g）≈ 420 kcal,0.55,带骨，卤制,0,0,0
213,肉蛋奶类,熟制畜禽肉,卤猪耳朵,176,1份（100g）≈ 176 kcal,1.0,卤制即食,0,0,0
214,肉蛋奶类,熟制畜禽肉,卤猪蹄,260,1块（100g）≈ 260 kcal,1.0,卤制即食,0,0,0
215,肉蛋奶类,熟制畜禽肉,白切鸡,185,1份（100g）≈ 185 kcal,1.0,清蒸蘸料,0,0,0
216,肉蛋奶类,熟制畜禽肉,蜜汁叉烧,300,1份（100g）≈ 300 kcal,1.0,广式叉烧,0,0,0
217,肉蛋奶类,熟制畜禽肉,广式烧鹅,375,1份（100g）≈ 375 kcal,0.6,带骨，烤制,0,0,0
218,肉蛋奶类,加工肉制品,培根,181,1片（20g）≈ 36 kcal,1.0,即食/煎制,0,0,0
219,肉蛋奶类,加工肉制品,火腿肠,212,1根（50g）≈ 106 kcal,1.0,即食,0,0,0
220,肉蛋奶类,加工肉制品,火山石烤肠,280,1根（60g）≈ 168 kcal,1.0,煎制即食,0,0,0
221,肉蛋奶类,加工肉制品,广式腊肠,584,1根（20g）≈ 117 kcal,1.0,蒸制即食,0,0,0
222,肉蛋奶类,加工肉制品,腊肉,498,1片（20g）≈ 100 kcal,1.0,蒸制即食,0,0,0
223,肉蛋奶类,加工肉制品,午餐肉,300,1片（30g）≈ 90 kcal,1.0,即食/煎制,0,0,0
224,肉蛋奶类,加工肉制品,猪肉脯,400,1袋（50g）≈ 200 kcal,1.0,即食,0,0,0
225,肉蛋奶类,加工肉制品,风干牛肉干,550,1袋（50g）≈ 275 kcal,1.0,即食,0,0,0
226,肉蛋奶类,加工肉制品,哈尔滨红肠,300,1根（100g）≈ 300 kcal,1.0,即食,0,0,0
227,肉蛋奶类,加工肉制品,虎皮凤爪,250,1个（30g）≈ 75 kcal,1.0,卤制油炸,0,0,0
228,肉蛋奶类,加工肉制品,无骨酸辣凤爪,140,1盒（100g）≈ 140 kcal,1.0,即食,0,0,0
229,肉蛋奶类,熟制水产,清蒸龙利鱼,85,1块（100g）≈ 85 kcal,1.0,无油清蒸,0,0,0
230,肉蛋奶类,熟制水产,清蒸三文鱼,142,1块（100g）≈ 142 kcal,1.0,无油清蒸,0,0,0
231,肉蛋奶类,熟制水产,清煮鳕鱼,88,1块（100g）≈ 88 kcal,1.0,清水煮,0,0,0
232,肉蛋奶类,熟制水产,清煮虾,95,10只（100g）≈ 95 kcal,0.45,带壳，可食部虾仁,0,0,0
233,肉蛋奶类,熟制水产,清蒸螃蟹,103,1只（200g）≈ 206 kcal,0.3,带壳，可食部蟹肉,0,0,0
