food_id,category,sub_category,food_name,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,common_unit,edible_rate,remark
44,主食类,熟制面点,猪肉包子,230,7.5,10.0,28.0,1个（100g）≈ 230 kcal,1.0,蒸熟后
45,主食类,熟制面点,小笼包,230,8.0,11.0,24.5,1笼（10个200g）≈ 460 kcal,1.0,猪肉馅蒸熟
46,主食类,熟制面点,烧麦,230,5.5,8.0,33.5,1个（50g）≈ 115 kcal,1.0,糯米烧麦
47,主食类,熟制面点,生煎包,285,9.0,16.0,26.5,1个（50g）≈ 143 kcal,1.0,油煎后
48,主食类,熟制面点,馄饨/云吞,210,8.5,10.0,21.5,1碗（15个200g）≈ 420 kcal,1.0,带汤煮熟
49,主食类,熟制面点,油条,386,7.0,17.5,51.0,1根（60g）≈ 232 kcal,1.0,油炸后
50,主食类,熟制面点,葱油饼,310,6.0,11.0,45.5,1张（100g）≈ 310 kcal,1.0,油煎制作
51,主食类,熟制面点,煎制手抓饼,400,7.0,22.0,44.5,1张（120g）≈ 480 kcal,1.0,加油煎制后
52,主食类,熟制面点,韭菜盒子,270,7.5,12.0,33.0,1个（100g）≈ 270 kcal,1.0,油煎制作
53,主食类,熟制面点,猪肉馅饼,265,8.0,12.5,29.0,1个（100g）≈ 265 kcal,1.0,油煎制作
54,主食类,熟制面点,糍粑,253,3.5,2.5,55.0,1块（100g）≈ 253 kcal,1.0,糯米煎制
55,主食类,方便速食,方便面（冲泡后）,140,3.5,5.0,20.0,1包（面饼+调料300g）≈ 420 kcal,1.0,带调料冲泡完成
56,主食类,方便速食,红油面皮（冲泡后）,160,4.5,7.0,20.5,1份（200g）≈ 320 kcal,1.0,带调料拌好
57,主食类,方便速食,螺蛳粉（煮后）,130,3.0,4.5,19.0,1碗（500g）≈ 650 kcal,1.0,全配料煮好带汤
58,主食类,方便速食,酸辣粉（煮后）,125,1.5,4.0,21.0,1碗（400g）≈ 500 kcal,1.0,带调料带汤
59,主食类,方便速食,武汉热干面（拌好）,175,5.5,8.0,21.5,1份（350g）≈ 613 kcal,1.0,带麻酱调料
60,主食类,方便速食,重庆小面（煮后）,150,4.0,5.5,20.5,1碗（400g）≈ 600 kcal,1.0,带汤底调料
61,主食类,方便速食,自热米饭,170,4.5,5.5,27.0,1盒（300g）≈ 510 kcal,1.0,含菜包米饭
62,主食类,方便速食,速食方便粥,50,1.2,0.5,10.5,1杯（300g）≈ 150 kcal,1.0,冲泡完成
63,主食类,方便速食,魔芋米,15,0.1,0.0,3.7,1碗（200g）≈ 30 kcal,1.0,即食低卡
64,主食类,方便速食,魔芋凉皮,18,0.2,0.0,4.3,1盒（200g）≈ 36 kcal,1.0,不含调料
65,主食类,速冻主食,速冻水饺（煮后）,250,8.5,14.0,22.5,10个（200g）≈ 500 kcal,1.0,猪肉白菜馅
66,主食类,速冻主食,速冻包子（蒸后）,230,7.0,10.0,28.5,1个（100g）≈ 230 kcal,1.0,猪肉馅
67,主食类,速冻主食,速冻黑芝麻汤圆（煮后）,260,4.5,10.0,38.0,10个（200g）≈ 520 kcal,1.0,芝麻馅
68,主食类,速冻主食,速冻鲜肉粽（煮后）,230,6.0,10.0,29.5,1个（150g）≈ 345 kcal,1.0,猪肉馅
69,主食类,速冻主食,速冻薯条（油炸后）,420,4.5,20.0,54.0,1份（100g）≈ 420 kcal,1.0,油炸成品
70,主食类,速冻主食,速冻鸡块（油炸后）,320,16.0,21.0,16.5,1份（100g）≈ 320 kcal,1.0,油炸成品
71,主食类,速冻主食,速冻披萨（烤后）,250,10.0,10.0,30.0,1片（100g）≈ 250 kcal,1.0,烤制完成
72,主食类,特色糕点主食,新疆烤馕,305,9.5,5.5,54.0,1个（200g）≈ 610 kcal,1.0,烤制
73,主食类,特色糕点主食,锅盔,300,8.0,6.0,52.5,1个（200g）≈ 600 kcal,1.0,烤制
74,主食类,特色糕点主食,烧饵块,200,3.5,2.0,42.0,1份（150g）≈ 300 kcal,1.0,含酱料
75,主食类,特色糕点主食,粘豆包,230,5.0,1.0,49.5,1个（100g）≈ 230 kcal,1.0,杂粮豆沙馅
76,主食类,特色糕点主食,青团,240,4.5,6.0,42.0,1个（60g）≈ 144 kcal,1.0,豆沙馅
77,主食类,特色糕点主食,甑糕,255,3.5,0.8,59.0,1份（150g）≈ 383 kcal,1.0,糯米蜜枣
78,主食类,特色糕点主食,驴打滚,300,6.0,3.0,61.5,1份（100g）≈ 300 kcal,1.0,黄豆面红糖
79,主食类,特色糕点主食,艾窝窝,235,4.0,1.0,52.0,1个（50g）≈ 118 kcal,1.0,糯米糕点
80,主食类,特色糕点主食,麻薯,275,3.5,5.0,54.0,1个（50g）≈ 138 kcal,1.0,糯米麻薯
81,主食类,特色糕点主食,碱水粽,135,3.5,0.5,29.5,1个（150g）≈ 203 kcal,1.0,纯糯米无馅
82,主食类,特色糕点主食,蛋黄鲜肉粽,240,7.0,12.0,24.5,1个（150g）≈ 360 kcal,1.0,蛋黄五花肉馅
83,蔬菜水果类,熟制蔬菜,清蒸西兰花,33,2.8,0.4,5.0,1份（100g）≈ 33 kcal,1.0,无油清蒸
84,蔬菜水果类,熟制蔬菜,清煮菠菜,28,2.6,0.3,4.0,1份（100g）≈ 28 kcal,1.0,清水煮
85,蔬菜水果类,熟制蔬菜,清蒸油麦菜,15,1.4,0.2,2.1,1份（100g）≈ 15 kcal,1.0,无油清蒸
86,蔬菜水果类,熟制蔬菜,清煮生菜,13,1.3,0.2,1.8,1份（100g）≈ 13 kcal,1.0,清水焯烫
87,蔬菜水果类,熟制蔬菜,清煮冬瓜,11,0.3,0.1,2.2,1份（100g）≈ 11 kcal,1.0,清水煮
88,蔬菜水果类,熟制蔬菜,清蒸黄瓜,15,0.8,0.2,2.9,1份（100g）≈ 15 kcal,1.0,清蒸
89,蔬菜水果类,熟制蔬菜,清蒸西红柿,15,0.9,0.2,2.8,1份（100g）≈ 15 kcal,1.0,清蒸
90,蔬菜水果类,熟制蔬菜,清煮茄子,23,1.0,0.1,4.5,1份（100g）≈ 23 kcal,1.0,清水煮
91,蔬菜水果类,熟制蔬菜,清蒸青椒,22,1.4,0.2,4.0,1份（100g）≈ 22 kcal,1.0,清蒸
92,蔬菜水果类,熟制蔬菜,清煮丝瓜,20,1.0,0.2,4.0,1份（100g）≈ 20 kcal,1.0,清水煮
93,蔬菜水果类,熟制蔬菜,清煮苦瓜,19,1.0,0.1,3.8,1份（100g）≈ 19 kcal,1.0,清水煮
94,蔬菜水果类,熟制蔬菜,清蒸胡萝卜,37,0.9,0.2,8.1,1根（100g）≈ 37 kcal,1.0,清蒸
95,蔬菜水果类,熟制蔬菜,清煮白萝卜,23,0.9,0.1,4.9,1份（100g）≈ 23 kcal,1.0,清水煮
96,蔬菜水果类,熟制蔬菜,清蒸洋葱,39,1.0,0.1,8.6,1份（100g）≈ 39 kcal,1.0,清蒸
97,蔬菜水果类,熟制蔬菜,清煮金针菇,27,2.4,0.3,3.9,1份（100g）≈ 27 kcal,1.0,清水煮
98,蔬菜水果类,熟制蔬菜,清煮香菇,26,2.2,0.3,3.7,1份（100g）≈ 26 kcal,1.0,清水煮
99,蔬菜水果类,熟制蔬菜,泡发黑木耳（煮）,27,1.2,0.1,5.3,1份（100g）≈ 27 kcal,1.0,泡发后煮熟
100,蔬菜水果类,熟制蔬菜,清煮海带,12,1.2,0.1,1.8,1份（100g）≈ 12 kcal,1.0,清水煮
101,蔬菜水果类,熟制蔬菜,清蒸秋葵,25,2.0,0.1,4.2,1份（100g）≈ 25 kcal,1.0,无油清蒸
102,蔬菜水果类,熟制蔬菜,清蒸芦笋,22,2.2,0.1,3.3,1份（100g）≈ 22 kcal,1.0,无油清蒸
103,蔬菜水果类,熟制蔬菜,清煮羽衣甘蓝,32,2.5,0.4,4.8,1份（100g）≈ 32 kcal,1.0,清水焯烫
104,蔬菜水果类,熟制蔬菜,清煮豆芽,18,1.4,0.1,3.0,1份（100g）≈ 18 kcal,1.0,绿豆芽
105,蔬菜水果类,熟制蔬菜,清煮四季豆,28,2.0,0.2,4.8,1份（100g）≈ 28 kcal,1.0,清水煮熟
106,蔬菜水果类,熟制蔬菜,清煮毛豆,123,11.0,4.5,8.5,1份（100g）≈ 123 kcal,1.0,带壳毛豆可食部
107,蔬菜水果类,腌渍蔬菜,东北酸菜,22,1.1,0.2,4.0,1份（100g）≈ 22 kcal,1.0,发酵酸菜
108,蔬菜水果类,腌渍蔬菜,韩式泡菜,35,1.5,0.3,6.8,1份（100g）≈ 35 kcal,1.0,辣白菜
109,蔬菜水果类,腌渍蔬菜,榨菜,28,1.4,0.1,5.5,1袋（50g）≈ 14 kcal,1.0,腌制榨菜
110,蔬菜水果类,腌渍蔬菜,萝卜干,70,2.5,0.3,15.0,1份（50g）≈ 35 kcal,1.0,风干萝卜干
111,蔬菜水果类,腌渍蔬菜,梅干菜（泡发）,80,3.5,0.8,15.5,1份（100g）≈ 80 kcal,1.0,泡发后
112,蔬菜水果类,腌渍蔬菜,橄榄菜,200,2.0,18.0,8.0,1勺（20g）≈ 40 kcal,1.0,含油腌制
113,蔬菜水果类,腌渍蔬菜,糖醋蒜,135,2.5,0.2,30.5,1头（50g）≈ 68 kcal,1.0,糖蒜
114,蔬菜水果类,鲜果类,苹果,52,0.2,0.2,12.3,1个中等（200g）≈ 104 kcal,0.85,带核，生食即食
115,蔬菜水果类,鲜果类,梨,44,0.4,0.2,10.6,1个中等（200g）≈ 88 kcal,0.82,带核，生食即食
116,蔬菜水果类,鲜果类,桃子,42,0.7,0.1,9.7,1个（150g）≈ 63 kcal,0.88,带核，生食即食
117,蔬菜水果类,鲜果类,李子,38,0.7,0.2,8.7,1个（50g）≈ 19 kcal,0.9,带核，生食即食
118,蔬菜水果类,鲜果类,樱桃,46,1.1,0.2,10.2,10颗（50g）≈ 23 kcal,0.85,带核，生食即食
119,蔬菜水果类,鲜果类,草莓,30,1.0,0.2,6.2,1盒（200g）≈ 60 kcal,1.0,生食即食
120,蔬菜水果类,鲜果类,蓝莓,57,0.5,0.2,13.5,1盒（100g）≈ 57 kcal,1.0,生食即食
121,蔬菜水果类,鲜果类,猕猴桃,56,0.8,0.6,11.9,1个（100g）≈ 56 kcal,0.8,带皮，生食即食
122,蔬菜水果类,鲜果类,橙子,47,0.8,0.2,11.1,1个（150g）≈ 70 kcal,0.75,带皮，生食即食
123,蔬菜水果类,鲜果类,橘子,43,0.8,0.1,10.2,1个（100g）≈ 43 kcal,0.78,带皮，生食即食
124,蔬菜水果类,鲜果类,柚子,38,0.7,0.1,8.8,1瓣（100g）≈ 38 kcal,0.6,带皮，生食即食
125,蔬菜水果类,鲜果类,香蕉,91,1.2,0.2,20.8,1根（120g）≈ 109 kcal,0.7,带皮，生食即食
126,蔬菜水果类,鲜果类,芒果,32,0.6,0.2,7.0,1个（200g）≈ 64 kcal,0.6,带核，生食即食
127,蔬菜水果类,鲜果类,菠萝/凤梨,41,0.5,0.1,10.1,1块（200g）≈ 82 kcal,0.65,带皮，生食即食
128,蔬菜水果类,鲜果类,荔枝,70,0.9,0.2,16.6,10颗（100g）≈ 70 kcal,0.78,带核，生食即食
129,蔬菜水果类,鲜果类,龙眼,71,1.2,0.1,16.6,10颗（100g）≈ 71 kcal,0.75,带核，生食即食
130,蔬菜水果类,鲜果类,火龙果,51,1.1,0.2,11.3,半个（200g）≈ 102 kcal,0.78,带皮，生食即食
131,蔬菜水果类,鲜果类,西瓜,25,0.6,0.1,5.8,1块（200g）≈ 50 kcal,0.55,带皮，生食即食
132,蔬菜水果类,鲜果类,哈密瓜,34,0.5,0.1,7.9,1块（200g）≈ 68 kcal,0.7,带皮，生食即食
133,蔬菜水果类,鲜果类,牛油果,160,1.9,14.0,5.8,半个（100g）≈ 160 kcal,0.7,带核皮，生食即食
134,蔬菜水果类,鲜果类,榴莲,147,2.6,3.3,28.3,1瓣（100g）≈ 147 kcal,0.4,带壳，生食即食
135,蔬菜水果类,鲜果类,椰子肉,241,3.5,11.5,30.0,1个（200g）≈ 482 kcal,0.3,带壳，生食即食
136,蔬菜水果类,鲜果类,山竹,69,0.3,0.1,17.0,1个（50g）≈ 35 kcal,0.4,带壳，生食即食
137,蔬菜水果类,鲜果类,百香果,97,1.8,0.5,22.0,1个（50g）≈ 49 kcal,0.5,带皮，生食即食
138,蔬菜水果类,鲜果类,葡萄,44,0.5,0.2,10.3,1串（200g）≈ 88 kcal,0.85,带皮，生食即食
139,蔬菜水果类,鲜果类,山楂,95,0.5,0.6,22.0,10颗（100g）≈ 95 kcal,0.8,带核，生食即食
140,蔬菜水果类,鲜果类,车厘子,46,1.1,0.2,10.2,10颗（50g）≈ 23 kcal,0.85,带核，生食即食
141,蔬菜水果类,鲜果类,西柚,33,0.7,0.1,7.8,半个（200g）≈ 66 kcal,0.7,带皮，生食即食
142,蔬菜水果类,鲜果类,番石榴/芭乐,41,1.1,0.4,8.3,1个（150g）≈ 62 kcal,0.8,带皮，生食即食
143,蔬菜水果类,鲜果类,杨桃,29,0.6,0.2,6.9,1个（100g）≈ 29 kcal,0.9,生食即食
144,蔬菜水果类,鲜果类,莲雾,34,0.5,0.2,7.8,1个（100g）≈ 34 kcal,0.9,生食即食
145,蔬菜水果类,鲜果类,释迦果,94,1.5,0.2,22.0,1个（200g）≈ 188 kcal,0.65,带皮，生食即食
146,蔬菜水果类,鲜果类,菠萝蜜,103,0.5,0.3,25.7,1瓣（50g）≈ 52 kcal,0.4,带核，生食即食
147,蔬菜水果类,干果果脯类,干红枣,264,2.1,0.4,62.5,10颗（50g）≈ 132 kcal,0.9,即食
148,蔬菜水果类,干果果脯类,葡萄干,299,2.1,0.2,72.0,1把（30g）≈ 90 kcal,1.0,即食
149,蔬菜水果类,干果果脯类,桂圆干,277,5.0,0.2,65.4,10颗（30g）≈ 83 kcal,0.8,带壳，即食
150,蔬菜水果类,干果果脯类,芒果干,320,2.4,0.6,78.5,1袋（50g）≈ 160 kcal,1.0,即食
151,蔬菜水果类,干果果脯类,蔓越莓干,315,0.6,0.4,79.0,1勺（20g）≈ 63 kcal,1.0,即食
152,蔬菜水果类,干果果脯类,杏干,330,3.0,0.5,79.0,10片（30g）≈ 99 kcal,1.0,即食
153,蔬菜水果类,干果果脯类,柿饼,250,1.5,0.1,60.5,1个（50g）≈ 125 kcal,1.0,即食
154,蔬菜水果类,干果果脯类,话梅,168,2.1,0.4,40.5,10颗（30g）≈ 50 kcal,1.0,即食
155,蔬菜水果类,干果果脯类,山楂片,360,1.8,0.4,88.5,1袋（50g）≈ 180 kcal,1.0,即食
156,蔬菜水果类,干果果脯类,果丹皮,321,1.5,0.3,78.5,1卷（30g）≈ 96 kcal,1.0,即食
157,豆类坚果类,熟制豆类,煮黄豆,140,13.0,5.0,10.0,1碗（100g）≈ 140 kcal,1.0,清水煮熟
158,豆类坚果类,熟制豆类,煮黑豆,150,14.5,5.8,10.5,1碗（100g）≈ 150 kcal,1.0,清水煮熟
159,豆类坚果类,熟制豆类,煮红豆,126,8.2,0.5,23.5,1碗（100g）≈ 126 kcal,1.0,清水煮熟
160,豆类坚果类,熟制豆类,煮绿豆,116,8.8,0.5,20.5,1碗（100g）≈ 116 kcal,1.0,清水煮熟
161,豆类坚果类,熟制豆类,煮鹰嘴豆,164,8.9,2.6,27.4,1碗（100g）≈ 164 kcal,1.0,清水煮熟
162,豆类坚果类,熟制豆类,煮芸豆,125,7.8,0.5,23.0,1碗（100g）≈ 125 kcal,1.0,清水煮熟
163,豆类坚果类,熟制豆类,煮豌豆,105,7.4,0.4,18.2,1碗（100g）≈ 105 kcal,1.0,清水煮熟
164,豆类坚果类,熟制豆类,煮蚕豆,104,8.8,0.4,16.5,1碗（100g）≈ 104 kcal,1.0,清水煮熟
165,豆类坚果类,豆制品,北豆腐,98,8.5,6.0,3.2,1块（100g）≈ 98 kcal,1.0,即食/可烹饪
166,豆类坚果类,豆制品,嫩豆腐/南豆腐,57,6.0,3.0,1.8,1盒（300g）≈ 171 kcal,1.0,即食/可烹饪
167,豆类坚果类,豆制品,内酯豆腐,49,5.2,2.2,2.1,1盒（300g）≈ 147 kcal,1.0,即食
168,豆类坚果类,豆制品,豆腐脑,15,1.9,0.5,0.8,1碗（300g）≈ 45 kcal,1.0,无糖无卤
169,豆类坚果类,豆制品,无糖豆浆,35,3.2,2.0,1.5,1杯（300ml）≈ 105 kcal,1.0,即饮
170,豆类坚果类,豆制品,纳豆,200,17.1,11.0,7.6,1盒（50g）≈ 100 kcal,1.0,即食
171,豆类坚果类,豆制品,豆腐皮/千张,262,24.5,16.0,5.5,1张（50g）≈ 131 kcal,1.0,熟制可即食
172,豆类坚果类,豆制品,泡发煮腐竹,102,9.5,5.5,3.0,1根（50g）≈ 51 kcal,1.0,泡发煮熟后
173,豆类坚果类,豆制品,白豆干,140,13.0,7.0,6.0,1块（50g）≈ 70 kcal,1.0,即食
174,豆类坚果类,豆制品,卤香干,185,15.0,11.0,5.5,1块（50g）≈ 93 kcal,1.0,卤制即食
175,豆类坚果类,豆制品,素鸡,192,16.5,12.5,3.5,1块（100g）≈ 192 kcal,1.0,即食
176,豆类坚果类,豆制品,油豆腐,245,17.0,17.6,4.3,10个（50g）≈ 123 kcal,1.0,油炸豆制品
177,豆类坚果类,豆制品,红腐乳,133,9.1,8.2,4.8,1块（10g）≈ 13 kcal,1.0,腐乳
178,豆类坚果类,豆制品,鸡蛋干,158,12.0,11.5,1.5,1袋（100g）≈ 158 kcal,1.0,即食
179,豆类坚果类,豆制品,烤麸,155,20.5,1.1,15.5,1块（50g）≈ 78 kcal,1.0,面筋制品
180,豆类坚果类,豆制品,手撕素肉,200,22.0,10.0,6.5,1袋（50g）≈ 100 kcal,1.0,大豆蛋白制品
181,豆类坚果类,坚果籽类,核桃（干）,646,15.0,56.0,18.0,1颗（5g）≈ 32 kcal,0.43,带壳，熟制即食
182,豆类坚果类,坚果籽类,巴旦木/杏仁,579,21.0,47.0,17.5,10颗（15g）≈ 87 kcal,0.7,带壳，熟制即食
183,豆类坚果类,坚果籽类,腰果,552,17.3,36.7,41.6,10颗（15g）≈ 83 kcal,1.0,熟制即食
184,豆类坚果类,坚果籽类,开心果,568,20.0,44.0,25.0,10颗（10g）≈ 57 kcal,0.45,带壳，熟制即食
185,豆类坚果类,坚果籽类,夏威夷果,718,7.0,73.0,7.5,1颗（5g）≈ 36 kcal,0.4,带壳，熟制即食
186,豆类坚果类,坚果籽类,碧根果,691,7.5,68.0,11.5,1颗（5g）≈ 35 kcal,0.4,带壳，熟制即食
187,豆类坚果类,坚果籽类,松子,644,12.0,60.0,17.0,10颗（5g）≈ 32 kcal,0.3,带壳，熟制即食
188,豆类坚果类,坚果籽类,榛子,617,20.0,50.3,24.3,10颗（10g）≈ 62 kcal,0.5,带壳，熟制即食
189,豆类坚果类,坚果籽类,熟板栗,212,4.8,1.5,46.0,10颗（100g）≈ 212 kcal,0.8,带壳，熟制即食
190,豆类坚果类,坚果籽类,炒花生,585,21.0,46.0,22.0,1把（20g）≈ 117 kcal,0.7,带壳，熟制即食
191,豆类坚果类,坚果籽类,葵花籽仁,606,22.0,50.0,15.5,1把（20g）≈ 121 kcal,1.0,熟制即食
192,豆类坚果类,坚果籽类,南瓜子仁,574,33.2,46.1,4.9,1把（20g）≈ 115 kcal,1.0,熟制即食
193,豆类坚果类,坚果籽类,白芝麻,531,17.0,38.0,29.0,1勺（10g）≈ 53 kcal,1.0,熟制即食
194,豆类坚果类,坚果籽类,黑芝麻,559,18.0,44.0,22.5,1勺（10g）≈ 56 kcal,1.0,熟制即食
195,豆类坚果类,坚果籽类,奇亚籽,490,16.0,30.0,40.0,1勺（10g）≈ 49 kcal,1.0,即食
196,豆类坚果类,坚果籽类,亚麻籽,534,18.0,40.0,28.0,1勺（10g）≈ 53 kcal,1.0,即食
197,豆类坚果类,坚果加工品,纯花生酱,594,20.0,50.0,17.0,1勺（20g）≈ 119 kcal,1.0,无添加糖
198,豆类坚果类,坚果加工品,纯芝麻酱,600,17.5,53.0,16.5,1勺（20g）≈ 120 kcal,1.0,纯芝麻
199,豆类坚果类,坚果加工品,琥珀核桃,600,10.5,38.0,52.0,1袋（50g）≈ 300 kcal,1.0,裹糖油炸
200,豆类坚果类,坚果加工品,蜂蜜黄油杏仁,615,18.0,50.0,25.0,1袋（30g）≈ 185 kcal,1.0,调味坚果
201,豆类坚果类,坚果加工品,鱼皮花生,500,13.5,28.0,48.0,1袋（50g）≈ 250 kcal,1.0,裹衣花生
202,豆类坚果类,坚果加工品,怪味胡豆,425,12.5,18.0,53.0,1袋（50g）≈ 213 kcal,1.0,调味蚕豆
203,豆类坚果类,坚果加工品,焦糖瓜子,610,12.0,50.0,28.0,1袋（100g）≈ 610 kcal,0.3,带壳，调味
204,肉蛋奶类,熟制畜禽肉,水煮鸡胸肉,140,25.5,4.5,0,1块（100g）≈ 140 kcal,1.0,清水无油煮
205,肉蛋奶类,熟制畜禽肉,水煮去皮鸡腿肉,160,22.0,7.5,0,1个（100g）≈ 160 kcal,1.0,清水无油煮
206,肉蛋奶类,熟制畜禽肉,水煮瘦猪肉,189,26.0,9.0,0,1块（100g）≈ 189 kcal,1.0,清水无油煮
207,肉蛋奶类,熟制畜禽肉,水煮瘦牛肉,150,26.0,4.5,0,1块（100g）≈ 150 kcal,1.0,清水无油煮
208,肉蛋奶类,熟制畜禽肉,水煮瘦羊肉,160,23.0,7.0,0,1块（100g）≈ 160 kcal,1.0,清水无油煮
209,肉蛋奶类,熟制畜禽肉,酱牛肉,246,31.4,11.9,3.2,1片（50g）≈ 123 kcal,1.0,卤制即食
210,肉蛋奶类,熟制畜禽肉,卤鸭腿,260,22.0,18.0,2.0,1个（150g）≈ 390 kcal,0.7,带骨，卤制
211,肉蛋奶类,熟制畜禽肉,烧鸡,190,25.0,9.5,0.5,1/4只（200g）≈ 380 kcal,0.6,带骨，熏烤
212,肉蛋奶类,熟制畜禽肉,盐水鸭,210,22.0,13.0,0.5,1/4只（200g）≈ 420 kcal,0.55,带骨，卤制
213,肉蛋奶类,熟制畜禽肉,卤猪耳朵,176,22.5,9.0,0.5,1份（100g）≈ 176 kcal,1.0,卤制即食
